"assessment_name","category","job_roles","skills","level","description"
"Agile Mindset","Behavioral","Operations","algorithms|debugging|attention to detail|time management","Mid","This assessment measures a candidate's proficiency in algorithms, debugging, attention to detail, time management and is suitable for Operations roles."
"Situational Judgment Test","Cognitive","Software Engineer","attention to detail|logic|debugging|judgment","Senior","This assessment measures a candidate's proficiency in attention to detail, logic, debugging, judgment and is suitable for Software Engineer roles."
"Strategic Thinking","Personality","Director|Sales|IT","coding|planning|data interpretation|strategy","Senior","This assessment measures a candidate's proficiency in coding, planning, data interpretation, strategy and is suitable for Director, Sales, IT roles."
"Emotional Intelligence","Behavioral","Operations|Director","personality|judgment|strategy|communication","Entry","This assessment measures a candidate's proficiency in personality, judgment, strategy, communication and is suitable for Operations, Director roles."
"Personality - OPQ","Cognitive","Software Engineer","time management|behavioral traits|reading","Mid","This assessment measures a candidate's proficiency in time management, behavioral traits, reading and is suitable for Software Engineer roles."
"Data Interpretation","Cognitive","Team Lead","math|attention to detail|decision making|influence","All","This assessment measures a candidate's proficiency in math, attention to detail, decision making, influence and is suitable for Team Lead roles."
"Sales Aptitude","Technical","Data Analyst","time management|personality|conflict resolution","All","This assessment measures a candidate's proficiency in time management, personality, conflict resolution and is suitable for Data Analyst roles."
"Personality - OPQ","Cognitive","Data Analyst|Operations","math|planning","Entry","This assessment measures a candidate's proficiency in math, planning and is suitable for Data Analyst, Operations roles."
"Technical Skills Test","Cognitive","Data Analyst|Manager","debugging|leadership|reading|communication","Mid","This assessment measures a candidate's proficiency in debugging, leadership, reading, communication and is suitable for Data Analyst, Manager roles."
"Conflict Resolution","Behavioral","Marketing|Team Lead","communication|judgment","Senior","This assessment measures a candidate's proficiency in communication, judgment and is suitable for Marketing, Team Lead roles."
"Logical Reasoning","Cognitive","Developer|Marketing","problem solving|time management|leadership","Mid","This assessment measures a candidate's proficiency in problem solving, time management, leadership and is suitable for Developer, Marketing roles."
"Team Collaboration","Personality","Marketing","conflict resolution|problem solving|decision making","All","This assessment measures a candidate's proficiency in conflict resolution, problem solving, decision making and is suitable for Marketing roles."
"Sales Aptitude","Technical","Team Lead","judgment|personality","Mid","This assessment measures a candidate's proficiency in judgment, personality and is suitable for Team Lead roles."
"Numerical Reasoning","Personality","Data Analyst|HR","attention to detail|planning","All","This assessment measures a candidate's proficiency in attention to detail, planning and is suitable for Data Analyst, HR roles."
"Leadership Assessment","Personality","Director|Operations|Team Lead","influence|attention to detail|coding|algorithms","Mid","This assessment measures a candidate's proficiency in influence, attention to detail, coding, algorithms and is suitable for Director, Operations, Team Lead roles."
"Verbal Reasoning","Personality","Software Engineer","influence|data interpretation|behavioral traits|reading","Mid","This assessment measures a candidate's proficiency in influence, data interpretation, behavioral traits, reading and is suitable for Software Engineer roles."
"Customer Orientation","Behavioral","Team Lead|HR|Software Engineer","planning|ethics|judgment","Entry","This assessment measures a candidate's proficiency in planning, ethics, judgment and is suitable for Team Lead, HR, Software Engineer roles."
"Logical Reasoning","Behavioral","Team Lead|HR","logic|judgment|personality","Mid","This assessment measures a candidate's proficiency in logic, judgment, personality and is suitable for Team Lead, HR roles."
"Coding Simulation","Technical","HR|Manager","data interpretation|attention to detail","Mid","This assessment measures a candidate's proficiency in data interpretation, attention to detail and is suitable for HR, Manager roles."
"Situational Judgment Test","Technical","HR|Finance Analyst","debugging|math|leadership","All","This assessment measures a candidate's proficiency in debugging, math, leadership and is suitable for HR, Finance Analyst roles."
"Team Collaboration","Cognitive","Marketing|Operations","logic|reading|debugging|planning","Entry","This assessment measures a candidate's proficiency in logic, reading, debugging, planning and is suitable for Marketing, Operations roles."
"Verbal Reasoning","Technical","Operations|Data Analyst|Manager","logic|influence|behavioral traits|strategy","Senior","This assessment measures a candidate's proficiency in logic, influence, behavioral traits, strategy and is suitable for Operations, Data Analyst, Manager roles."
"Verbal Reasoning","Behavioral","Developer","personality|decision making|influence","Mid","This assessment measures a candidate's proficiency in personality, decision making, influence and is suitable for Developer roles."
"Situational Judgment Test","Cognitive","Software Engineer","attention to detail|data interpretation|decision making|judgment","Entry","This assessment measures a candidate's proficiency in attention to detail, data interpretation, decision making, judgment and is suitable for Software Engineer roles."
"Numerical Reasoning","Behavioral","Data Analyst|IT|Software Engineer","logic|coding","All","This assessment measures a candidate's proficiency in logic, coding and is suitable for Data Analyst, IT, Software Engineer roles."
"Coding Simulation","Technical","Software Engineer|Marketing","planning|math|communication|attention to detail","Entry","This assessment measures a candidate's proficiency in planning, math, communication, attention to detail and is suitable for Software Engineer, Marketing roles."
"Situational Judgment Test","Technical","Team Lead","data interpretation|behavioral traits","All","This assessment measures a candidate's proficiency in data interpretation, behavioral traits and is suitable for Team Lead roles."
"Personality - OPQ","Behavioral","Manager|HR|Developer","conflict resolution|attention to detail|data interpretation","Entry","This assessment measures a candidate's proficiency in conflict resolution, attention to detail, data interpretation and is suitable for Manager, HR, Developer roles."
"Managerial Aptitude","Cognitive","Manager|Software Engineer|Customer Service","planning|problem solving|influence","All","This assessment measures a candidate's proficiency in planning, problem solving, influence and is suitable for Manager, Software Engineer, Customer Service roles."
"Agile Mindset","Cognitive","Manager|Developer|Marketing","leadership|coding","Mid","This assessment measures a candidate's proficiency in leadership, coding and is suitable for Manager, Developer, Marketing roles."
"Time Management Test","Personality","Software Engineer","data interpretation|ethics","Senior","This assessment measures a candidate's proficiency in data interpretation, ethics and is suitable for Software Engineer roles."
"Verbal Reasoning","Personality","Customer Service|Developer|Director","influence|planning|personality|strategy","All","This assessment measures a candidate's proficiency in influence, planning, personality, strategy and is suitable for Customer Service, Developer, Director roles."
"Emotional Intelligence","Behavioral","Director|Developer|Marketing","planning|coding","Entry","This assessment measures a candidate's proficiency in planning, coding and is suitable for Director, Developer, Marketing roles."
"Sales Aptitude","Personality","Manager|Developer","leadership|personality|conflict resolution","Mid","This assessment measures a candidate's proficiency in leadership, personality, conflict resolution and is suitable for Manager, Developer roles."
"Verbal Reasoning","Personality","Customer Service|IT|Manager","behavioral traits|data interpretation|communication|judgment","Mid","This assessment measures a candidate's proficiency in behavioral traits, data interpretation, communication, judgment and is suitable for Customer Service, IT, Manager roles."
"Logical Reasoning","Technical","Operations|HR","strategy|attention to detail","Mid","This assessment measures a candidate's proficiency in strategy, attention to detail and is suitable for Operations, HR roles."
"Logical Reasoning","Technical","Sales|Finance Analyst|Director","conflict resolution|behavioral traits|judgment|communication","Mid","This assessment measures a candidate's proficiency in conflict resolution, behavioral traits, judgment, communication and is suitable for Sales, Finance Analyst, Director roles."
"Agile Mindset","Personality","Sales|Manager","communication|time management|behavioral traits","Mid","This assessment measures a candidate's proficiency in communication, time management, behavioral traits and is suitable for Sales, Manager roles."
"Technical Skills Test","Cognitive","Manager","strategy|data interpretation","Mid","This assessment measures a candidate's proficiency in strategy, data interpretation and is suitable for Manager roles."
