assessment_name,assessment_url,job_roles,skills,level,category,duration,test_type,remote_testing_support,adaptive_irt_support,description
Communication Behavioral Assessment,https://www.shl.com/test/1,Sales Manager,Communication|Problem Solving|Python,Entry,Technical,20 mins,Knowledge,Yes,No,"This test measures Communication, Problem Solving, Python for Sales Manager roles."
Python Knowledge Assessment,https://www.shl.com/test/2,Data Analyst,Cognitive Ability|Python,Entry,Behavioral,60 mins,Knowledge,Yes,Yes,"This test measures Cognitive Ability, Python for Data Analyst roles."
Numerical Reasoning Cognitive Assessment,https://www.shl.com/test/3,Software Engineer|Product Manager|Sales Manager,Numerical Reasoning|Cognitive Ability|Python|Leadership,Senior,Behavioral,60 mins,Personality,Yes,Yes,"This test measures Numerical Reasoning, Cognitive Ability, Python, Leadership for Software Engineer, Product Manager, Sales Manager roles."
SQL Cognitive Assessment,https://www.shl.com/test/4,Data Analyst,Problem Solving|Leadership|SQL|Communication,All,Technical,60 mins,Behavioral,Yes,No,"This test measures Problem Solving, Leadership, SQL, Communication for Data Analyst roles."
Cognitive Ability Cognitive Assessment,https://www.shl.com/test/5,Consultant|HR Specialist|Data Analyst,Cognitive Ability|SQL|Leadership|Excel,Mid,Cognitive,60 mins,Knowledge,No,Yes,"This test measures Cognitive Ability, SQL, Leadership, Excel for Consultant, HR Specialist, Data Analyst roles."
Excel Behavioral Assessment,https://www.shl.com/test/6,Software Engineer|Product Manager|Sales Manager,Leadership|Excel,All,Technical,30 mins,Knowledge,No,No,"This test measures Leadership, Excel for Software Engineer, Product Manager, Sales Manager roles."
Excel Personality Assessment,https://www.shl.com/test/7,Consultant,Communication|SQL|Excel|Numerical Reasoning,Senior,Personality,30 mins,Personality,Yes,No,"This test measures Communication, SQL, Excel, Numerical Reasoning for Consultant roles."
Excel Personality Assessment,https://www.shl.com/test/8,Product Manager|Data Analyst,SQL|Python|Excel|Problem Solving,Mid,Behavioral,45 mins,Personality,Yes,Yes,"This test measures SQL, Python, Excel, Problem Solving for Product Manager, Data Analyst roles."
Cognitive Ability Knowledge Assessment,https://www.shl.com/test/9,HR Specialist|Data Analyst,Leadership|Excel|Cognitive Ability,All,Behavioral,30 mins,Knowledge,Yes,Yes,"This test measures Leadership, Excel, Cognitive Ability for HR Specialist, Data Analyst roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/10,Software Engineer,Communication|Cognitive Ability,All,Technical,60 mins,Behavioral,No,No,"This test measures Communication, Cognitive Ability for Software Engineer roles."
Verbal Reasoning Behavioral Assessment,https://www.shl.com/test/11,Software Engineer,Verbal Reasoning|Leadership|SQL,Senior,Personality,60 mins,Behavioral,No,No,"This test measures Verbal Reasoning, Leadership, SQL for Software Engineer roles."
Cognitive Ability Personality Assessment,https://www.shl.com/test/12,Data Analyst,Cognitive Ability|Python|Numerical Reasoning,Senior,Technical,45 mins,Behavioral,Yes,No,"This test measures Cognitive Ability, Python, Numerical Reasoning for Data Analyst roles."
Verbal Reasoning Personality Assessment,https://www.shl.com/test/13,Data Analyst|Sales Manager,Verbal Reasoning|Python|Cognitive Ability,Mid,Personality,45 mins,Behavioral,No,No,"This test measures Verbal Reasoning, Python, Cognitive Ability for Data Analyst, Sales Manager roles."
Cognitive Ability Knowledge Assessment,https://www.shl.com/test/14,Sales Manager|HR Specialist|Data Analyst,Cognitive Ability|Numerical Reasoning|Problem Solving,Entry,Technical,60 mins,Behavioral,No,Yes,"This test measures Cognitive Ability, Numerical Reasoning, Problem Solving for Sales Manager, HR Specialist, Data Analyst roles."
Excel Personality Assessment,https://www.shl.com/test/15,Consultant,Cognitive Ability|Python|Excel,Senior,Behavioral,60 mins,Behavioral,No,Yes,"This test measures Cognitive Ability, Python, Excel for Consultant roles."
Leadership Personality Assessment,https://www.shl.com/test/16,Software Engineer|Sales Manager,Python|Leadership,Entry,Cognitive,60 mins,Behavioral,No,No,"This test measures Python, Leadership for Software Engineer, Sales Manager roles."
Cognitive Ability Cognitive Assessment,https://www.shl.com/test/17,Data Analyst|Sales Manager|Consultant,Cognitive Ability|Verbal Reasoning|Python,Senior,Personality,20 mins,Personality,No,No,"This test measures Cognitive Ability, Verbal Reasoning, Python for Data Analyst, Sales Manager, Consultant roles."
Leadership Behavioral Assessment,https://www.shl.com/test/18,Data Analyst,Numerical Reasoning|Leadership,All,Personality,60 mins,Behavioral,No,No,"This test measures Numerical Reasoning, Leadership for Data Analyst roles."
SQL Personality Assessment,https://www.shl.com/test/19,Product Manager,SQL|Cognitive Ability|Verbal Reasoning|Numerical Reasoning,Senior,Personality,30 mins,Personality,No,No,"This test measures SQL, Cognitive Ability, Verbal Reasoning, Numerical Reasoning for Product Manager roles."
